Lilliana,Liliana,Liliana,Lily,Lili
Lukas,Lucas,Lukas,Lucca,Luke
Chana,Chana,Chaya,Hana,Chanah
Reginald,Reggie,Reginald,Regnold,Reg
Isabela,Isabella,Isabela,Izabela,Bella
Zeke,Ezekiel,Zeke,Zekiel,Zeek
Aliza,Aliza,Alissa,Aleesa,Alyza
Kabir,Kabir,Kabeer,Kabeir,Kabs
Ensley,Ensley,Ensleigh,Ensli,Ens
Sean,Shawn,Sean,Shaun,Sein
Allison,Alison,Allison,Alyson,Alli
Ethan,Ethan,Ethen,Ethyn,Eth
Adelina,Adelina,Adelina,Adalina,Addie
Kole,Cole,Kole,Koal,Kol
Elsa,Elsa,Elsah,Elza,El
Ira,Ira,Eyra,Ire,Irah
Emily,Emily,Emilee,Emely,Em
Krew,Crew,Krew,Kru,Krewy
Alina,Alina,Aleena,Alena,Ali
Braxton,Braxton,Brackston,Braxten,Brax
Raelyn,Raelynn,Raelyn,Raylyn,Ray
Hamza,Hamza,Hamzah,Hamsa,Ham
Siena,Sienna,Siena,Ciena,Sien
Canaan,Canaan,Kaynan,Canan,Cane
Lorelei,Lorelai,Lorelei,Loralei,Rory
Mario,Mario,Marrio,Mhario,Mar
Aaliyah,Aliyah,Aaliyah,Aleah,Ali
Bryan,Brian,Bryan,Bryen,Bry
Iyla,Isla,Iyla,Ilah,Ily
Quinton,Quentin,Quinton,Kwinton,Quin
Kinley,Kinley,Kinleigh,Kinli,Kin
Nikolas,Nicholas,Nikolas,Nicolas,Niko
Chaya,Chaya,Chana,Chaia,Chai
Emory,Emory,Emery,Emori,Em
Journey,Journey,Journee,Journy,Jour
Beckett,Beckett,Beket,Bekett,Beck
Lina,Lina,Leena,Lynah,Lin
Dior,Dior,Dyore,Diorr,Di
Nina,Nina,Neena,Nyna,Nin
Franklin,Franklin,Franklyn,Franken,Frank
Mila,Mila,Meela,Mylah,Mil
Hugo,Hugo,Ugo,Hugu,Hug
Alora,Alora,Allora,Alorah,Alo
Nash,Nash,Nashe,Nashh,Nas
Emely,Emily,Emely,Emilee,Emm
Dangelo,D'Angelo,Dangelo,Deangelo,Angelo
Ainsley,Ainsley,Ainsleigh,Ainsley,Ans
Giovanni,Giovanni,Geovanny,Giovani,Gio
Isabelle,Isabel,Isabelle,Izabel,Izzy
Harley,Harley,Harlie,Harlee,Harl
Oaklee,Oakley,Oaklee,Oakleigh,Oak
Zaiden,Zayden,Zaiden,Zaidan,Zaid
Emelia,Amelia,Emelia,Emilia,Emmie
Talon,Talon,Tallon,Talyn,Tal
Adele,Adele,Adel,Adell,Addie
Amir,Ameer,Amir,Amyr,Am
Adalynn,Adalyn,Adalynn,Addalyn,Addie
Wyatt,Wyatt,Wyat,Wyiatt,Wi
Miriam,Miriam,Myriam,Mirum,Miri
Tommy,Tommy,Tommie,Tomm,Tom
Jenna,Jenna,Genna,Jenah,Jen
Atlas,Atlas,Atlas,Atles,At
Simone,Simone,Cimone,Symone,Mon
Zain,Zane,Zain,Zayne,Zai
Maren,Maren,Marin,Mayren,Mar
John,John,Jon,Jhon,Johnny
Mabel,Mabel,Maybel,Mable,May
Matias,Matthias,Matias,Mateas,Mat
Holly,Holly,Holi,Hollie,Hol
Cristian,Christian,Cristian,Kristian,Cris
Shelby,Shelby,Shelbie,Shel,Shell
Magnus,Magnus,Magnis,Magness,Mag
Madalyn,Madeleine,Madalyn,Madeline,Maddie
Corbin,Corbin,Korbin,Corby,Cor
Keyla,Kayla,Keyla,Keila,Key
Duncan,Duncan,Dunkin,Duncn,Dunc
Theodora,Theodora,Teodora,Thea,Theo
Kamdyn,Camden,Kamdyn,Kamden,Kam
Oaklee,Oakley,Oaklee,Oakleigh,Oak
Louie,Louis,Louie,Lewie,Lou
Kaliyah,Aliyah,Kaliyah,Caliyah,Kali
Thomas,Thomas,Tomas,Thom,Tom
Siena,Siena,Sienna,Ciena,Sien
Kylian,Kilian,Kylian,Killian,Ky
Parker,Parker,Parkur,Park,Parky
Eric,Erik,Eric,Erick,Er
Annie,Annie,Any,Anni,Ann
Sawyer,Sawyer,Soyers,Soyor,Saw
Fallon,Fallon,Falon,Fallyn,Fal
Zyaire,Zaire,Zyaire,Zyair,Zy
Delilah,Delilah,Dylilah,Dalyah,Lilah
Jayson,Jason,Jayson,Jasun,Jay
Noemi,Noemi,Noemi,Noemy,Noe
Willie,Willie,Willy,Will,Will
Wren,Wren,Renn,Wrenn,Ren
Emanuel,Emmanuel,Emanuel,Emanule,Manny
Zhuri,Zhuri,Zuri,Zhoori,Zhu
Crew,Krew,Crew,Kru,Cre
Aubrey,Aubrey,Aubrie,Aubry,Aub
Turner,Turner,Turnur,Turn,Turn
Oakleigh,Oakley,Oakleigh,Oaklee,Oak
Zayd,Zaid,Zayd,Zayed,Zay
Scarlett,Scarlet,Scarlett,Scarlett,Scar
Jack,Jack,Jak,Jakk,Jackie
Livia,Livia,Livivia,Lyvia,Liv
Brantley,Brantley,Brantly,Brantlee,Brant
Jemma,Gemma,Jemma,Jema,Jem
Weston,Weston,Westin,Wesyn,Wes
Emerald,Emerald,Emereld,Emmerald,Em
Lincoln,Lincoln,Lincin,Linkoln,Linc
Gemma,Gemma,Jemma,Gema,Gem
Edison,Edison,Addison,Edison,Eddy
Peyton,Peyton,Payton,Peiton,Pey
Noe,Noah,Noe,Noah,No
Maren,Marin,Maren,Mayren,Mar
Prince,Prince,Prins,Prinse,Prin
Gia,Gia,Gya,Giah,Gi
Sean,Shawn,Sean,Shaun,Sein
Averie,Avery,Averie,Avary,Ave
Ledger,Ledger,Lejger,Ledge,Led
Gianna,Giana,Gianna,Gia,Gia
Beckham,Beckham,Bekham,Bekam,Beck
Sylvie,Sylvia,Sylvie,Silvie,Syl
Louie,Louis,Louie,Lewie,Lou
Maxine,Maxine,Maxeen,Maxin,Max
Devin,Devin,Devon,Devyn,Dev
Tatum,Tatum,Taytum,Tatem,Tat
Callen,Callan,Callen,Calen,Cal
Alyssa,Alyssa,Alissa,Aleesa,Ally
Atlas,Atlas,Atles,Atlys,At
Lillie,Lily,Lillie,Lily,Lil
Sam,Sam,Sammy,Samm,Sam
Faye,Fay,Faye,Fayh,Fa
Kyson,Kyson,Kison,Kaisen,Ky
Alanna,Alana,Alanna,Alannah,Allie
Zechariah,Zachariah,Zechariah,Zakaria,Zech
Pearl,Pearl,Perl,Pearle,Per
Hugh,Hugh,Hew,Hue,Hu
Serena,Serena,Sirena,Sereena,Ser
Lukas,Lucas,Lukas,Lucca,Luke
Amaia,Amaya,Amaia,Amayah,Amy
Cillian,Kilian,Cillian,Killian,Cil
Alisson,Allison,Alisson,Alison,Ali
Vance,Vance,Vans,Vants,Van
Maria,Maria,Mariah,Mariya,Mari
Bo,Beau,Bo,Boh,Bo
Sierra,Sierra,Cierra,Siera,Si
Miguel,Miguel,Migel,Migeal,Mig
Aniyah,Aniya,Aniyah,Ania,Ani
Ariel,Ariel,Aryel,Aryell,Ari
Keily,Kiley,Keily,Kailey,Key
Hugo,Hugo,Ugo,Hugu,Hug
Oaklynn,Oaklyn,Oaklynn,Oaklin,Oak
Peter,Peter,Petar,Peeter,Pete
Parker,Parker,Parkur,Park,Parky
Bentlee,Bentley,Bentlee,Bently,Bent
Liliana,Liliana,Lilliana,Lilyana,Lily
Axel,Axel,Aksel,Axell,Ax
Rosalyn,Rosalyn,Rosalin,Rozlyn,Roz
Musa,Musa,Moosa,Mousa,Mus
Nadia,Nadia,Nadya,Nadea,Nad
Madden,Madden,Madin,Madon,Mad
Fatima,Fatima,Fateema,Fatimah,Fat
Tadeo,Thaddeus,Tadeo,Tadeeo,Tad
Lily,Lillie,Lily,Lilli,Lil
Zion,Zion,Xion,Ziyan,Zi
Ryann,Ryan,Ryann,Rian,Ry
